HrRacedate,HrRaceNo,HrRaceIndex,HrFP,HrNo,HrName,HrBrandNo,HrJockey,HrGear,HrComment,HrCoRunningUrComm
2019-09-21,9,47,6,3,地大大,B352,陳嘉熙,XB,與對手同步出閘，受催策上前，居前列位置，走第二疊。跑過五百米處後被帶出更外疊。直路初未能再加速。一百五十米處前保持穩勢，其後轉弱。（見競賽事件報告。）,
2019-09-21,9,47,7,1,真先生,S253,何澤堯,B,自第十檔出閘迅速，居中間之後位置，走第二疊。入直路時落後八個馬位。直路上略為上前。,
2019-09-21,9,47,8,2,勇闖者,A030,莫雷拉,P/TT,自最外檔出閘迅速，居中間之後位置，在沒有遮擋下走外疊。入直路時落後八個馬位，以穩勢衝刺。,
2019-09-21,9,47,9,10,香江穩勝,T254,巫顯東,B-/CP2,出閘緩慢，居包尾位置，落後約十個馬位。入直路時仍遙遙落後。直路上移出外疊，略為上前。,
2019-09-25,1,49,1,4,喜蓮彩星,A129,利敬國,B/TT,起步後不久與他駒互相觸碰，居包尾位置，走內欄。中段追近，衝刺強勁，以四分三個馬位之先勝出。,
2019-09-25,1,49,2,6,天池怪俠,B350,潘頓,H,出閘俐落，落後領放馬三至四個馬位，走內欄。直路彎追近，過了四百五十米處後向外移出。直路初取得領先，保持佳勢。但最後五十米不敵頭馬，跑獲亞軍。,
2019-09-25,1,49,3,2,佳騰駒,B160,貝力斯,H/TT,自第一檔出閘迅速，輕易取得領先。直路彎前走勢良佳，直路初被超越。其後保持穩勢，取得季軍。,
2019-09-25,1,49,4,1,綠色有運,B413,何澤堯,B/H,出閘迅速，早段受催策上前，居前列。一千二百五十米處容許對手過頭，中段落後領放馬兩個馬位。過了五百米處後受力策。入直路時走第四疊，以穩勢衝刺。（見競賽事件報告。）,
2019-09-25,1,49,5,5,傑彩繽紛,B457,史卓豐,B,出閘僅屬一般，其後不久與對手互相觸碰，早段未能切入內疊。過了千六米處後受催策上前，其後居第二位，走第二疊。入直路時未能再增速，直路上保持同速。,
2019-09-25,1,49,6,7,勇敢傳說,A260,田泰安,B/TT,出閘普通，早段失去平衡，居尾列，走第二疊。直路彎落後約四個馬位。入直路時走外疊，末段保持同速。,
2019-09-25,1,49,7,3,邊個邊個,B412,莫雷拉,TT,與對手同步出閘，落後約三個馬位，走第二疊。直路彎位置相若，直路上衝刺乏力。,
2019-09-25,2,50,1,1,善傳千里,A121,潘頓,--,受力策上前，居領先馬匹之後，走第二疊。走勢良佳，勝出賽事。,
2019-09-25,2,50,10,8,大將風勝,B419,蘇狄雄,H,收慢留後，走第二疊。快步速適合發揮。一百米處追前。,
2019-09-25,2,50,11,6,競駿時代,V116,莫雷拉,V/TT,受推策以佔取包廂位置。快步速不合發揮。三百米處瞬即力竭。,
2019-09-25,2,50,12,11,勝利新星,B133,田泰安,PC1/TT,收慢留後。從未有力一爭。,
2019-09-25,2,50,2,5,明月昇輝,A324,貝力斯,H/P,收慢留居中間位置，走第二疊。快步速有利發揮。三百米處穩步上前，跑獲亞席。,
2019-09-25,2,50,3,4,爪皇轟天,A291,郭能,TT,受推策以固守內欄，居中間位置。快步速有利發揮。三百米處缺乏空位，望空後穩步追前。,
2019-09-25,2,50,4,7,駿協精英,V207,蔡明紹,H/SR/CP2,居中間之後位置，走第二疊。快步速有利發揮。二百米處走勢強勁。,
2019-09-25,2,50,5,3,隨我來,B300,沈拿,--,居後列，走第三疊。快步速有利發揮。二百五十米處穩步上前。,
2019-09-25,2,50,6,10,金剛秀,T436,黃皓楠,B,受力策以固守內欄，居中間之後位置。快步速有利發揮。三百米處穩步追前。,
2019-09-25,2,50,7,9,銀城福星,V088,陳嘉熙,H/XB/TT,受推策移入內欄，並排領先。快步速不利發揮。二百米處再無餘力。,
2019-09-25,2,50,8,2,幸運大兄,A423,潘明輝,H-/B2/TT,出閘緩慢，受力策，以快步速並排領先。二百五十米處轉弱。,
2019-09-25,2,50,9,12,非同凡響,B242,黎海榮,XB-/B/H1/TT1,出閘十分緩慢，居包尾位置，走第二疊。快步速適合發揮。一百米處追前。,
2019-09-25,3,51,1,9,喜勝駒,B167,莫雷拉,V-/TT1,居中間位置，走內欄。跑過四百米處時推進，跑過一百五十米處時加速。衝刺強勁，勝出賽事。,
2019-09-25,3,51,10,8,出奇寶,B471,田泰安,B,居中間位置。接近一百米處時收慢避開他駒後蹄，對催策毫無反應。,
2019-09-25,3,51,11,4,西夏之王,C295,希威森,CP-/B1/TT,起步後留居包尾位置。入直路時走外疊，直路上轉弱。,
2019-09-25,3,51,12,12,幸運飛駒,A092,蘇狄雄,TT,沿途居中間位置，在沒有遮擋下走外疊。接近一百五十米處時力竭。,
2019-09-25,3,51,2,1,富萬家,V286,巫顯東,H,出閘迅速，受催策取得領先。跑過四百米處時受催策，末段衝刺強勁。,
2019-09-25,3,51,3,3,快樂歡騰,B272,潘頓,B-/H/TT2,起步後留居後列。直路上對催策反應強勁，末段衝刺良佳。,
2019-09-25,3,51,4,2,勇者勝,B010,郭能,B/H/XB/TT,起步後留居中間之後位置，走內欄。入直路時受催策，直路上以佳勢力拼。,
2019-09-25,3,51,5,10,太陽戰馬,C212,黃皓楠,--,受催策，居領放馬外側。直路上力拼，但僅能保持同速。,
2019-09-25,3,51,6,11,超霸無敵,C256,黎海榮,B-,居包廂位置。直路上受催策，但僅能保持同速。,
2019-09-25,3,51,7,7,富祿,C352,潘明輝,--,居中間之後位置。跑過四百米處時嘗試推進。入直路時走外疊，直路上對催策反應平平。,
2019-09-25,3,51,8,6,極爽,C131,史卓豐,H/V,出閘僅屬一般，居中間之前位置。接近五百米處時受催策，接近二百米處時轉弱。必須試閘及格後，才可再次出賽。,
2019-09-25,3,51,9,5,肥仔,V071,貝力斯,B2/XB2/TT-,起步後留居尾列。接近六百米處時受催策。入直路時走最外疊，直路上對催策毫無反應。,
2019-09-25,4,52,1,8,夢幻戰士,C280,田泰安,CP/H/TT,早段及中段居領先馬匹之後，走勢暢順。趨近四百米處時走勢強勁，移離內欄。以勁勢衝刺，一百五十米處取得領先。保持勁勢勝出。,
2019-09-25,4,52,10,11,鑽飾神聖,A419,希威森,--,起步時以後足豎立，因而失地。其後追前，居包尾位置。持續居後列，跑過四百米處時落後領放馬將近八個馬位。末段未能追前。從未有力一爭。,
2019-09-25,4,52,11,2,開心日子,A333,貝力斯,B/TT,起步後切入內疊，居中間之後位置，離欄競跑。中段移出較外疊並推進。跑過六百米處時勒避及失地。四百米處落後領放馬五個馬位，未能追前。,
2019-09-25,4,52,12,9,蒜頭爺爺,V039,巫顯東,B-,缺乏前速，居尾三位置，走內欄。趨近六百五十米處時墮居包尾位置。其後不久受催策。進入末段時落後領放馬甚遠，未能推進。,
2019-09-25,4,52,2,6,力王,A065,李寶利,--,早段留居馬群尾到。中段迅速上前，趨近六百米處時取得領先。保持領先，一百五十米處被追上及超越。末段以佳勢力拼。,
2019-09-25,4,52,3,5,王者再現,V156,利敬國,V,早段及中段居中間位置，走內欄。中段進一步墮退。轉彎時落後領放馬將近五個馬位。直路上固守內欄。最後二百米追前頗多。,
2019-09-25,4,52,4,3,自然君子,C089,何澤堯,B/H,起步後受催策上前，取得領放雙駒之後的好位，離欄競跑。趨近彎位時再墮退兩個馬位。末段落後相同距離。,
2019-09-25,4,52,5,12,鵲橋飛渡,A247,郭能,H/P/TT,起步後切入內疊，收慢居中間位置，走內欄。進入末段時落後領放馬三個馬位。最後四百米落後相同距離。,
2019-09-25,4,52,6,1,快樂實在,A152,莫雷拉,--,切入內疊，居中間位置，離欄競跑。受催策上前，自六百米處起推進。進入末段時落後四個馬位。最後四百米追前一個馬位，但從未構成真正威脅。,
2019-09-25,4,52,7,10,塑料喜,T326,黃皓楠,B,展現前速，取得領先。接近千三米處時切入內欄。跑過六百米處時被追上及超越。入直路時加速，並排領先。最後二百米未能再增速及轉弱。,
2019-09-25,4,52,8,7,君臨大地,V192,黎海榮,SR/TT,上前居中間位置，離欄競跑。趨近七百五十米處時居正在推進的對手之後，移至第三疊。自六百米處起在沒有遮擋下走外疊。轉彎時移出最外疊。直路上墮退數個馬位。,
2019-09-25,4,52,9,4,及時行樂,A125,陳嘉熙,B,上前居第二位，落後領放馬一個馬位。離開首段時離欄競跑。跑過六百米處時取得遮擋。轉彎時被迫出第四疊。二百五十米處未能再增速。其後轉弱。,
2019-09-25,5,53,1,9,王者奇兵,C130,莫雷拉,--,起步時被對手碰撞，落後領放馬兩至三個馬位，走內欄。直路彎走內欄節省腳程。直路初向外移出，以勁勢衝刺，勝出賽事。,
2019-09-25,5,53,10,1,上捕先鋒,C300,希威森,B,出閘普通，未能切入內疊。落後一至兩個馬位，走第三疊，沒有遮擋。中段居相若位置。入直路時未能再增速。直路上逐漸轉弱。,
2019-09-25,5,53,11,10,提款機,V093,沈拿,B-/TT,與對手同步躍出，居中間位置，落後約兩個馬位，走第二疊。直路彎居相若位置。直路上對催策毫無反應。最後一百米收慢。（流鼻血。）（翌日左前腿不良於行。）,
2019-09-25,5,53,12,12,團圓豐收,V409,黎海榮,TT,自大外檔出閘普通。早段未能切入內疊。居中間之後位置，走大外疊。進入對面直路後留後。中段居後列，走第二疊。直路彎未能再增速。直路初力竭，收慢。,
2019-09-25,5,53,2,2,健康在望,C172,田泰安,B,起步時碰撞對手，居包尾位置，落後六個馬位。中段略為追近。入直路時走大外疊。直路上追前甚多，跑獲亞軍。過終點時最為接近。,
2019-09-25,5,53,3,3,紅褲日,C272,梁家俊,B/TT,自第十檔出閘迅速，受催策上前居第二位，走第二疊。直路彎並排領先。直路初保持佳勢。趨近五十米處時未能再增速及被超越。其後逐漸轉弱。衝線時失去亞席。,
2019-09-25,5,53,4,5,心慷慨,V394,潘明輝,P-/XB,出閘迅速。早段居中間之後位置，走第二疊。接近八百米處時移入內欄。直路彎走內欄節省腳程。直路上略為追前，取得殿軍。,
2019-09-25,5,53,5,11,飛雲騅,B274,史卓豐,SR,起步時被對手碰撞，居領放馬之後，走內欄。直路彎前走內欄節省腳程。跑過四百五十米處後向外移出。直路初未能再增速。保持穩勢至終點。,
2019-09-25,5,53,6,6,陽明滿滿,B047,何澤堯,H-/TT,自第九檔出閘後留後，落後約四個馬位，走第二疊。直路彎前居相同位置，以穩勢衝刺。,
2019-09-25,5,53,7,4,金碧輝煌,T076,李寶利,B/TT,出閘迅速。早段居中間位置，走第三疊，沒有遮擋。進入對面直路後取得遮擋。直路彎落後約三個馬位，以穩勢衝刺。,
2019-09-25,5,53,8,7,菁年財駿,C435,潘頓,TT1,起步時向內斜跑，碰撞對手。受催策上前，取得領先。中段走勢暢順。直路彎並排領先。接近二百米處時未能再增速及被超越。其後轉弱。（右前腿不良於行。）,
2019-09-25,5,53,9,8,愛添滿,B305,利敬國,H-/V1/TT-,出閘一般，居中間位置，走大外疊，沒有遮擋。跑過八百米處後略為追近。直路彎落後兩至三個馬位。耗力太多，直路初轉弱。,
2019-09-25,6,54,1,12,正陽清風,B343,蔡明紹,B,居中間位置，走第二疊。最後一百米在內疊發力，末段超越頭馬，以半個馬位之先勝出賽事。,
2019-09-25,6,54,10,10,醒目再臨,A314,蘇狄雄,B/TT,出閘前煩躁不安，出閘後留居尾列，走第二疊。未能上前。（見競賽事件報告。）,
2019-09-25,6,54,11,5,美麗天驕,C274,潘明輝,CP/TT,受力策上前，並排領先，走第二疊。跑過二百米處時再無餘力。,
2019-09-25,6,54,12,4,帖木兒,B001,潘頓,TT1,居包廂位置，未能上前。趨近一百五十米處時轉弱及收慢。（見競賽事件報告。）,
2019-09-25,6,54,2,6,衝亞,C218,陳嘉熙,B1,受催策上前，並排領先，走內欄。保持位置至末段，跑獲亞軍。,
2019-09-25,6,54,3,8,極速前進,V390,梁家俊,V/TT,居中間位置，走內欄。衝刺良佳，取得季軍。,
2019-09-25,6,54,4,11,寶山鷹,C248,莫雷拉,--,受催策上前，六百米處轉彎前居第二疊第二位，有遮擋。走勢普通。,
2019-09-25,6,54,5,1,育馬妙星,V197,田泰安,H,留居尾列，走內欄。上前，衝刺頗佳。,
2019-09-25,6,54,6,9,育馬新星,C162,黃皓楠,CP,居中間之前位置，走第二疊。持續保持同速。,
2019-09-25,6,54,7,7,金匯昇,C010,李寶利,--,居中間之前位置，走外疊，沒有遮擋。保持普通走勢至終點。,
2019-09-25,6,54,8,3,競駿天驕,B097,巫顯東,H/TT,居中間稍後位置，走第二疊。向外移至跑道中央，末段上前。,
2019-09-25,6,54,9,2,加州銀晉,C042,何澤堯,H/TT,居中間之後位置，走內欄，有遮擋。保持同速。,
2019-09-25,7,55,1,2,電訊驫馬,C181,史卓豐,TT,瞬即受催策，早段爭奪領先。八百米處留居第二位，走內欄。入直路後重新發力。最後一百米佔得上風。,
2019-09-25,7,55,10,8,雙天至尊,C293,黃皓楠,TT,出閘普通，其後受阻，墮居包尾位置。入直路前尾隨群駒。入直路時走內欄以省腳程。保持走勢，超越數匹已洩氣的馬匹。,
2019-09-25,7,55,11,12,銀亮之星,B027,潘明輝,H,出閘笨拙，瞬即恢復走勢，居第四位，落後領放馬不逾三個馬位。趨近大石鼓時失位。入直路彎時墮居中間第七位。入直路時走外疊，保持同速。,
2019-09-25,7,55,12,11,問鼎高峰,A009,田泰安,B,自外檔出閘，遙遙落後。入直路時居包尾位置，走外疊。保持同速。,
2019-09-25,7,55,2,3,劍追風,B261,利敬國,TT,自最外檔出閘後切入內疊，居領放馬稍後的第三位。八百米處搶口及失位。入直路彎時居第五位，落後約兩個馬位。入直路時居第四位。以穩勢力拼，以短距離之差落敗。,
2019-09-25,7,55,3,4,成才,B085,潘頓,XB,出閘普通，早段居中間之前位置。以穩勢推進，約七百米處居第三位，落後一個馬位。轉直路彎時走內欄以省腳程。以穩勢力拼，有力一爭，但末段未能保持走勢。,
2019-09-25,7,55,4,10,赤水神駒,V364,陳嘉熙,--,自外檔出閘迅速，取得領先。跑過九百米處時走內欄。領先至最後一百米，再無餘力。,
2019-09-25,7,55,5,7,公証福將,A148,貝力斯,XB/TT,出閘普通，居中間之後位置。直路上在跑道中央走勢良佳。過終點時最為接近。,
2019-09-25,7,55,6,9,轉數高,C007,何澤堯,B/XB,受催策，居後列，走內欄。轉直路彎時開始上前。入直路時向外移出取位。直路上在跑道中央衝刺強勁。,
2019-09-25,7,55,7,1,神舟寶駒,C269,沈拿,TT2,出閘普通，瞬即墮居中間之後位置。入直路時居相若位置。末段上前甚多。,
2019-09-25,7,55,8,5,醒目勇駒,B456,莫雷拉,B/TT,居中間稍前位置，走第三疊。大石鼓處上前。轉直路彎時居第三位，走外疊。入直路時失位，未能恢復走勢。（騎師被查詢此駒表現令人失望的原因。）,
2019-09-25,7,55,9,6,光速之星,C478,黎海榮,TT1,居中間位置。轉直路彎時略為追近。末段在催策下保持同速。,
2019-09-25,8,56,1,10,文武傳奇,B137,利敬國,B/TT,與對手同步出閘，居第四至第五位。加速甚勁，接近一百五十米處時取得領先，帶離對手勝出。,
2019-09-25,8,56,10,1,川河寶駒,T375,田泰安,TT,自第一檔出閘後留居後列。四百米處落後六個馬位。入直路時以均速持續力拼，從未構成威脅。,
2019-09-25,8,56,11,8,靚紫荊,A135,希威森,B,自最外檔出閘後墮居接近包尾位置。自千二米處起在沒遮擋下走外疊。四百米處難以跟上對手，瞬即洩氣。,
2019-09-25,8,56,12,4,心中有您,B283,李寶利,H/V,起步後受催策。自千二米處起跟隨領放馬。率先受催策。自五百五十米處起受力策。直路中段顯著轉弱。,
2019-09-25,8,56,2,9,綠野先駒,C302,莫雷拉,--,從未遠離領放馬。四百五十米處移出外疊上前。以勁勢追趕至終點，但未能追近頭馬。,
2019-09-25,8,56,3,11,鴻圖巨星,C163,陳嘉熙,H,早段受催策，跟隨領放馬。四百五十米處受催策。自直路彎起持續力拼。最後一百五十米衝刺不及前兩名馬匹。,
2019-09-25,8,56,4,7,鑲白旗,B336,郭能,--,早段緊隨領先馬匹，其後收慢留居中間位置。入直路時在內疊持續力拼。在第三至第五名馬匹齊過終點下，僅未能入位。,
2019-09-25,8,56,5,2,福威勝,B223,何澤堯,--,留居中間之後位置，落後領放馬六個馬位。直路初加速強勁，甚具威脅。最後一百米未能再增速。,
2019-09-25,8,56,6,5,興爾,B203,沈拿,XB,一如預期受催策上前，單騎領放。三百五十米處受力策。直路中段被超越。最後一百米轉弱，墮後數個名次。,
2019-09-25,8,56,7,6,幸運時代,A045,潘明輝,B,居中間位置，走內欄節省腳程。直路上持續力拼。末段緊迫競跑，未能受力策。,
2019-09-25,8,56,8,3,長長友,B472,潘頓,B,出閘笨拙後未受催策，居後列，落後八個馬位。最後三百米略為追前，但未能追及領先馬匹。,
2019-09-25,8,56,9,12,可愛寶,T029,巫顯東,H/XB,出閘後在馬群之後切入內欄，居包尾位置，落後領放馬近十個馬位。直路上受催策，但走勢平平，僅能超越洩氣潰敗的對手。,
2019-09-25,9,57,1,12,天地人,B403,莫雷拉,CP/H/XB,自第一檔出閘迅速，輕易取得領先。直路彎前走勢暢順。直路上保持勁勢，勝出賽事。,
2019-09-25,9,57,10,3,最驫,A022,巫顯東,B/TT,出閘笨拙，居後列，走內疊。直路彎落後六個馬位。直路上毫無進展。,
2019-09-25,9,57,11,5,騰龍超影,T372,蔡明紹,V/TT,自第九檔出閘後留後，早段居後列，在沒遮擋下走大外疊。接近八百米處時取得遮擋。直路彎落後八至九個馬位。直路上衝刺乏力。,
2019-09-25,9,57,12,8,紅粉彩影,C284,史卓豐,H/XB,與對手同步出閘，走第二疊，居中間位置。接近七百五十米處時失去平衡。直路彎前居相同位置。直路初轉弱。,
2019-09-25,9,57,2,4,安喜,V338,郭能,B/TT,出閘迅速，居領放馬一至兩個馬位之後的位置，走內欄。直路彎居相同位置。直路上保持佳勢，跑獲亞軍，未能威脅頭馬。,
2019-09-25,9,57,3,11,明駿之星,C229,田泰安,B,出閘迅速，居第二疊第二位。直路彎前居相同位置。接近四百米處時向外移出。直路上保持穩勢，跑獲季軍，未能威脅前兩名馬匹。,
2019-09-25,9,57,4,1,永同歡欣,C232,梁家俊,--,自最外檔出閘後留居中間之後位置，走第二疊。直路彎居相若位置。直路上略為追前，跑獲殿軍。,
2019-09-25,9,57,5,6,精神威,C345,潘頓,--,出閘普通，受催策上前，居前列，走第二疊。直路彎前居相同位置。直路初未能再增速，其後逐漸轉弱。（見競賽事件報告。）,
2019-09-25,9,57,6,10,索先生,T330,何澤堯,B,留居後列，落後約五個馬位，走第三疊。直路彎落後相同距離。入直路時走外疊。末段保持穩勢。,
2019-09-25,9,57,7,9,英之星,C058,貝力斯,CP1,與對手同步出閘，在沒遮擋下走第三疊，居中間之後位置，落後約四個馬位。直路彎居相若位置。末段保持同速。,
2019-09-25,9,57,8,7,夢幻仙子,V222,潘明輝,TT,出閘普通，沿欄居中間位置。直路彎走內欄節省腳程。末段保持穩勢。,
2019-09-25,9,57,9,2,越感,T273,希威森,--,自外檔出閘後留居後列，落後約六個馬位，走第二疊。直路彎落後相同距離。末段保持穩勢。,
2019-10-01,1,58,1,1,電子群星,C132,梁家俊,H,與對手同步出閘，居中間之前位置，走第三疊，有遮擋。接近一千米處時碰撞對手。直路彎走第二疊。直路初向外移出。衝刺強勁，勝出賽事。,
2019-10-01,1,58,10,4,開心一號,C486,蘇狄雄,--,出閘普通，居中間之後位置，走第三疊，有遮擋。直路彎居相若位置。直路初未能望空，望空後未能上前。,
2019-10-01,1,58,11,11,槍槍中,C092,黃皓楠,TT,自最外檔出閘迅速，留居後列，走大外疊，沒有遮擋。直路彎略為追近。直路初未能再加速，其後逐漸轉弱。,
2019-10-01,1,58,12,13,彪形鐵漢,C012,巫顯東,TT,出閘普通，落後四至五個馬位，走第二疊。接近一千米處時被碰撞。直路彎居相若位置。直路初受催策，略為交出反應。接近二百米處時受阻，其後不久收慢。,
2019-10-01,1,58,13,2,又夠威,C467,莫雷拉,B1/TT1,出閘時與對手互相觸碰，受催策上前，居前列位置，走外疊。接近九百米處時取得領先。直路彎與對手並排領先。直路初被超越，其後轉弱。,
2019-10-01,1,58,14,7,衝關王,C378,貝力斯,H1/TT1,與對手同步出閘，居中間之後位置，走第二疊。早段難以穩定走勢。接近六百五十米處時踢中他駒的後蹄及嚴重失蹄，其後不久收慢。（見競賽事件報告。）（翌日右前腿肌腱腫脹及不良於行。）,
2019-10-01,1,58,2,8,八卦,C102,潘頓,XB,與對手同步出閘，落後一個半馬位，走第二疊。自八百米處起取得遮擋。入直路時落後相同距離。直路初受催策，反應甚佳。二百五十米處取得領先。保持佳勢，但五十米處不敵頭馬，取得亞軍。,
2019-10-01,1,58,3,14,餘皇,B155,蔡明紹,--,出閘迅速，落後領放馬兩個馬位，走內欄。直路彎前走勢輕鬆。衝刺良佳，取得季軍，未能威脅首兩名馬匹。,
2019-10-01,1,58,4,12,馬功臣,A296,田泰安,B/E/TT,出閘時受擠迫，居後列，走外疊，有遮擋。跑過五百五十米處後開始上前。入直路時走大外疊。直路初追前甚多。接近一百米處時未能再加速。保持穩勢至終點。,
2019-10-01,1,58,5,10,好友利,C223,利敬國,H-/B,自第九檔出閘迅速，未能切入內疊。居中間位置，走外疊。中段沒有遮擋。以穩定走勢衝刺。,
2019-10-01,1,58,6,3,佳景福星,C454,薛恩,--,出閘迅速，受催策上前，居前列位置，走內疊。直路彎並排領先。直路初保持佳勢。接近二百五十米處時未能再加速及被超越，其後逐漸轉弱。,
2019-10-01,1,58,7,9,金剛石,C106,史卓豐,B1/TT1,出閘時與他駒互相觸碰，居後列，走外疊，有遮擋。接近七百米處時走內欄。入直路時落後六個馬位。直路上略為上前。,
2019-10-01,1,58,8,5,惜多福,A323,杜美爾,B,出閘笨拙，居後列，落後五至六個馬位，走內疊。直路彎走內欄以省腳程。入直路後固守內疊，以穩勢衝刺。,
2019-10-01,1,58,9,6,飛帥,C455,黎海榮,H1,自第一檔出閘普通，居中間之後位置，落後約四個馬位，走內欄。直路彎前居相同位置。直路上未能上前。（騎師於接近二百五十米處時跌掉馬鞭。）,
2019-10-01,10,67,1,7,載譽歸來,C215,莫雷拉,B,自第一檔出閘迅速，居中間之前位置，走內欄。中段走勢輕鬆。入直路時向外移出。直路初取得領先。保持勁勢至終點，以三個馬位之先勝出賽事。,
2019-10-01,10,67,10,2,精算風暴,B173,史卓豐,PC,出閘普通後留後，落後六個馬位，走第三疊。直路彎走第二疊。直路上未能望空，未能全力施為。,
2019-10-01,10,67,11,13,大武士,B216,黎海榮,B-/TT,出閘時被碰撞，受催策上前，居前列位置，走第二疊。接近八百米處時讓對手過頭。直路彎居第二疊第二位。直路初未能再加速，其後逐漸轉弱。,
2019-10-01,10,67,12,5,開心神駒,T200,利敬國,--,自第九檔出閘迅速，未能切入內疊。居中間位置，走大外疊。直路彎走第三疊。直路初未能再加速，其後逐漸轉弱。,
2019-10-01,10,67,13,12,加州神箭,A417,希威森,H/TT,出閘略為緩慢，居中間之前位置，走第二疊。直路彎前居相同位置。直路初保持穩勢。接近一百五十米處時受阻，其後收慢。,
2019-10-01,10,67,14,6,極速駿馬,B211,沈拿,B/TT,自最外檔出閘迅速，受催策上前領先。直路彎與對手並排領先。直路初未能再加速及被超越。最後二百米轉弱。,
2019-10-01,10,67,2,1,加州議長,A114,巫顯東,B/H/TT,出閘時被碰撞，居後列，走外疊，有遮擋。直路彎落後約五個馬位。衝刺十分強勁，取得亞軍，未能威脅頭馬。,
2019-10-01,10,67,3,4,忠心勇士,C336,潘頓,--,出閘略為緩慢，碰撞他駒。居中間位置，走第二疊。沿途跑來搶口。入直路時向外移出。直路上略為上前，取得季軍。（見競賽事件報告。）,
2019-10-01,10,67,4,10,精彩輝煌,B411,黃皓楠,--,自外檔出閘，留居後列，走第二疊。直路彎前居相同位置。直路上追前甚多，跑獲殿軍。,
2019-10-01,10,67,5,3,精算閃擊,B147,李寶利,H,出閘普通，居中間之後位置，走第二疊。接近八百米處時走內欄。入直路時向外移出。接近三百米處時未能望空，望空後以穩勢衝刺。,
2019-10-01,10,67,6,14,團結精神,B230,蘇狄雄,B/TT,出閘時與對手互相觸碰，居前列位置，走內疊。直路彎並排領先。接近三百米處時未能再加速及被超越，其後逐漸轉弱。,
2019-10-01,10,67,7,9,美麗滿紛,C475,田泰安,B1,出閘時被碰撞，未能切入內疊。早段居中間之後位置，走第四疊。直路彎走第三疊，以穩定走勢衝刺。,
2019-10-01,10,67,8,8,春花秋月,C267,梁家俊,H/XB,出閘十分笨拙，碰撞他駒。居後列，走內疊。直路彎走內欄以省腳程。直路上略為上前。,
2019-10-01,10,67,9,11,順勢寶,V310,蔡明紹,B,出閘時與對手互相觸碰，落後六個馬位，走內欄。直路彎沿欄追近。入直路後固守內疊，末段保持同速。,
2019-10-01,2,59,1,9,合衷共濟,B250,潘明輝,--,居領放馬稍後位置。三百米處展開強勁衝刺，勝出賽事。,
2019-10-01,2,59,10,6,紅旺,C341,潘頓,--,切入內欄，輕鬆領放。二百五十米處瞬即力竭。,
2019-10-01,2,59,11,11,豹子膽,C389,希威森,--,居中間位置。直路上毫無進展。,
2019-10-01,2,59,12,3,勝者,C315,郭能,--,受催策上前。三百米處洩氣。,
2019-10-01,2,59,13,7,驃騎飛,C456,貝力斯,--,從未超越中間位置。,
2019-10-01,2,59,14,5,拖板精英,C362,巫顯東,--,收慢留後。毫無競爭力。,
2019-10-01,2,59,2,8,木火同明,C460,利敬國,H1,居後列。直路初缺乏空位。望空後衝刺強勁。,
2019-10-01,2,59,3,10,一路順風,C453,杜美爾,--,居包廂位置。保持佳勢至終點，跑獲季軍。,
2019-10-01,2,59,4,2,猴王駒,A336,田泰安,B,居後列。二百五十米處展開強勁衝刺。,
2019-10-01,2,59,5,1,乘勢歡心,C423,梁家俊,--,居後列，走外疊。三百米處逐漸追前。,
2019-10-01,2,59,6,12,為食格格,C312,蘇狄雄,TT,居較前位置。直路上未能加速。,
2019-10-01,2,59,7,14,安定繁盛,C064,黃皓楠,V-/TT,居後列。三百米處逐漸上前。,
2019-10-01,2,59,8,4,總統之星,C170,黎海榮,B1/TT1,居後列。直路上走勢一般。,
2019-10-01,2,59,9,13,勇冠多,V376,李寶利,SR,未能加速，居中間位置，走外疊。從未能上前。,
2019-10-01,3,60,1,5,美麗滿載,C003,莫雷拉,--,起步後留後。跑過四百米處時推進，對催策反應強勁，勝出賽事。,
2019-10-01,3,60,2,6,旌暉,V077,潘明輝,B,居包尾位置。跑過四百米處時對催策反應良佳。,
2019-10-01,3,60,3,3,有理共想,B180,薛恩,B,居中間之後位置，走外欄。過了三百米處後難以望空，末段追前甚多。,
2019-10-01,3,60,4,4,激賞,A377,田泰安,--,受催策，並排領先。接近四百米處時開始推進，末段衝刺良佳。,
2019-10-01,3,60,5,1,小巨人,V342,潘頓,--,居領先馬匹之後。接近七百五十米處時一度收慢避開他駒後蹄。跑過四百米處時力拼，衝刺普通。,
2019-10-01,3,60,6,2,大籐王,A061,史卓豐,B,受催策，取得領先，走外欄。接近三百五十米處時受催策，衝刺一般。,
2019-10-01,3,60,7,7,樂滿家,A293,利敬國,B/H,居後列。跑過四百米處時向內移入以推進。末段保持同速。,
2019-10-01,4,61,1,1,錶之皇者,B398,莫雷拉,B,在馬群之後切入，其後推進至中間位置，離欄競跑。走勢良佳，跑過半程時落後領放馬四個馬位。三百五十米處望空，最後一百米迅速上前，取得領先。保持走勢，從容勝出。,
2019-10-01,4,61,10,4,快閃的,A189,郭能,B/TT,起步後加速上前，居中間位置，離欄競跑。入直路後不久未能再增速，最後二百米墮退。,
2019-10-01,4,61,11,13,港林福星,A307,黎海榮,B,展步上前，居領放馬之後，沿欄走勢輕鬆。趨近六百米處時受力策，入直路後墮退。洩氣潰敗。,
